track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,The Pooka (IRE),Mr J C Barry,3,L Comer,PU,N/A,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Glasgow Dan (IRE),A McCurtin,0,P Kiely,13th,15 l,5,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Kinski (FR),P K Donovan,5,P G Kelly,12th,4 1/4 l,5,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Play The Knave (IRE),G B Noonan,5,V T O'Brien,11th,74 l,11,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Pharney Soldier (IRE),S F O'Keeffe,0,David Barry,10th,18 l,7,11-12t1,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,West Clare (IRE),P T Enright,0,B McMahon,9th,3/4 l,7,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Oneforbaz (IRE),M P O'Connor,3,S Aherne,8th,11 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Graigue Corner (IRE),D King,0,N Stokes,7th,16 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Killaney King (IRE),Rachael Blackmore,0,H De Bromhead,6th,Head,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Cadoudal Saint (FR),P Townend,0,W P Mullins,5th,2 3/4 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Cappacurry Ealu (IRE),R P Treacy,0,L Young,4th,12 l,6,11-5,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Walk Away Harry (IRE),P Byrnes,5,C Byrnes,3rd,2 3/4 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Big Stage (IRE),J W Kennedy,0,G Elliott,2nd,2 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Freemans Bay (IRE),D E Mullins,0,S Byrne,1st,N/A,7,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,The Pooka (IRE),Mr J C Barry,3,L Comer,PU,N/A,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Glasgow Dan (IRE),A McCurtin,0,P Kiely,13th,15 l,5,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Kinski (FR),P K Donovan,5,P G Kelly,12th,4 1/4 l,5,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Play The Knave (IRE),G B Noonan,5,V T O'Brien,11th,74 l,11,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Pharney Soldier (IRE),S F O'Keeffe,0,David Barry,10th,18 l,7,11-12t1,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,West Clare (IRE),P T Enright,0,B McMahon,9th,3/4 l,7,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Oneforbaz (IRE),M P O'Connor,3,S Aherne,8th,11 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Graigue Corner (IRE),D King,0,N Stokes,7th,16 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Killaney King (IRE),Rachael Blackmore,0,H De Bromhead,6th,Head,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Cadoudal Saint (FR),P Townend,0,W P Mullins,5th,2 3/4 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Cappacurry Ealu (IRE),R P Treacy,0,L Young,4th,12 l,6,11-5,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Walk Away Harry (IRE),P Byrnes,5,C Byrnes,3rd,2 3/4 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Big Stage (IRE),J W Kennedy,0,G Elliott,2nd,2 l,6,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 14:53,N/A,14:53,Soft To Heavy,2m 4f,Freemans Bay (IRE),D E Mullins,0,S Byrne,1st,N/A,7,11-12,-,True,105,18
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,NR,N/A,7,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,She's Tobias (IRE),E Walsh,0,Ciaran Murphy,NR,N/A,8,11-13t,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Toor Moon (IRE),L Quinlan,5,Ms M Flynn,NR,N/A,7,11-13,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Golden Symphony (IRE),T P Harney,7,M P Fitzgerald,PU,N/A,11,11-1b,80,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Falcon Park (IRE),N T Prendergast,7,P Hennessy,F,N/A,8,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Three Comets (GER),R A Doyle,0,L Comer,11th,19 l,8,11-4p,83,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Justakeg (IRE),G B Noonan,5,V T O'Brien,10th,1 1/2 l,13,11-1,80,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Depeche Mo (IRE),B W Harvey,0,Eric Larkin,9th,13 l,6,11-6,85,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Moonlight Getaway (IRE),P T Enright,0,D Hassett,8th,1 1/2 l,8,11-13,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Junot (IRE),D J O'Keeffe,0,M Winters,7th,Nose,5,11-11p,90,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Rewrite The Script (IRE),P Byrnes,5,M A Daly,6th,7 l,7,11-6,85,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Imbolc (IRE),Shane Fenelon,7,E Sheehy,5th,2 l,6,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Cornmarket (IRE),A McCurtin,0,M Flannery,4th,1/2 l,5,11-2p,81,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Gold Haven (IRE),D J Gilligan,5,P W Flynn,3rd,8 l,6,12-0tp,93,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Shana Cloon (IRE),K M Donoghue,0,G P Cromwell,2nd,3/4 l,5,11-11,90,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Knockbrack Rambler (IRE),Mr C J Shine,7,Brendan Walsh,1st,N/A,7,11-10,89,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,NR,N/A,7,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,She's Tobias (IRE),E Walsh,0,Ciaran Murphy,NR,N/A,8,11-13t,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Toor Moon (IRE),L Quinlan,5,Ms M Flynn,NR,N/A,7,11-13,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Golden Symphony (IRE),T P Harney,7,M P Fitzgerald,PU,N/A,11,11-1b,80,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Falcon Park (IRE),N T Prendergast,7,P Hennessy,F,N/A,8,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Three Comets (GER),R A Doyle,0,L Comer,11th,19 l,8,11-4p,83,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Justakeg (IRE),G B Noonan,5,V T O'Brien,10th,1 1/2 l,13,11-1,80,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Depeche Mo (IRE),B W Harvey,0,Eric Larkin,9th,13 l,6,11-6,85,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Moonlight Getaway (IRE),P T Enright,0,D Hassett,8th,1 1/2 l,8,11-13,92,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Junot (IRE),D J O'Keeffe,0,M Winters,7th,Nose,5,11-11p,90,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Rewrite The Script (IRE),P Byrnes,5,M A Daly,6th,7 l,7,11-6,85,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Imbolc (IRE),Shane Fenelon,7,E Sheehy,5th,2 l,6,11-3,82,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Cornmarket (IRE),A McCurtin,0,M Flannery,4th,1/2 l,5,11-2p,81,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Gold Haven (IRE),D J Gilligan,5,P W Flynn,3rd,8 l,6,12-0tp,93,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Shana Cloon (IRE),K M Donoghue,0,G P Cromwell,2nd,3/4 l,5,11-11,90,True,105,19
Cork Racing Results | 21st March 2024 15:23,N/A,15:23,Soft To Heavy,2m 4f,Knockbrack Rambler (IRE),Mr C J Shine,7,Brendan Walsh,1st,N/A,7,11-10,89,True,105,19
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Striking (FR),C D Smithers,7,Mrs J Harrington,NR,N/A,6,12-5,121,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Storm Mahler (IRE),C P McNamara,0,E McNamara,NR,N/A,6,11-6,108,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Thegraveyardbookie (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-13,115,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Ebasari (IRE),J W Kennedy,0,G Elliott,F,N/A,6,12-0t,116,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Sammy Smart,D J O'Keeffe,0,T Gibney,18th,19 l,8,11-0,102,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Rolly Bowley Boy (IRE),E Walsh,0,Ciaran Murphy,17th,2 l,7,11-2v,104,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Shes So Glorious (IRE),Sam Ewing,0,G Ahern,16th,5 l,8,10-2,90,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Port Nelson (IRE),D King,0,A J Martin,15th,3 3/4 l,6,11-0,102,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Harveys Point (IRE),B Hayes,0,Colm Murphy,14th,8 l,6,11-0,102,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Mister Beeton (IRE),T P Harney,7,S Nolan,13th,1/2 l,7,12-2,118,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Noble Talent (IRE),J J Slevin,0,T J Nagle-Jr,12th,3 3/4 l,7,11-8,110,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Carlas Big Jim (IRE),Mr C J Shine,7,L J Archdeacon,11th,1 3/4 l,6,11-4,106,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Housemartin (IRE),M M McDonagh,3,E J O'Grady,10th,1/2 l,7,11-3t,105,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Rebel Early (IRE),L A McKenna,5,W J Burke,9th,1 3/4 l,10,11-12p,114,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,John The Diva (FR),C M Quirke,5,M A Cahill,8th,1 l,7,10-9,97,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Battle Of Ridgeway (IRE),S W Flanagan,0,M Hassett,7th,19 l,6,10-13t,101,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Camino Mission (IRE),P T Enright,0,S Fahey,6th,5 1/2 l,6,10-0,88,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Must Be Dreaming (IRE),M J M O'Sullivan,0,G Ahern,5th,1 l,7,10-5p,93,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Johngus (IRE),Mr S Tobin,7,S Aherne,4th,1 1/2 l,10,11-8,110,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,A Great Buzz (IRE),S D Torrens,0,R Tyner,3rd,3 1/4 l,5,10-4,92,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Cheerful Chap (IRE),J P O'Sullivan,3,P J Rothwell,2nd,2 1/2 l,7,10-13p,101,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Clonbury Bridge (IRE),D Meyler,0,J P Dempsey,1st,N/A,8,10-12tb,100,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Striking (FR),C D Smithers,7,Mrs J Harrington,NR,N/A,6,12-5,121,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Storm Mahler (IRE),C P McNamara,0,E McNamara,NR,N/A,6,11-6,108,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Thegraveyardbookie (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-13,115,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Ebasari (IRE),J W Kennedy,0,G Elliott,F,N/A,6,12-0t,116,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Sammy Smart,D J O'Keeffe,0,T Gibney,18th,19 l,8,11-0,102,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Rolly Bowley Boy (IRE),E Walsh,0,Ciaran Murphy,17th,2 l,7,11-2v,104,True,105,20
